书名,原书名,作者,翻译,出版社,丛书,出版日期,ISBN,页数,定价,标签,阅读状态,豆瓣评分,豆瓣评论人数,豆瓣地址
构建之法（第三版）: 现代软件工程,,邹欣 ,, 人民邮电出版社,, 2017-6,9787115460769,464, 69.00元, 软件工程 计算机 项目管理,在读,8.8,136,https://book.douban.com/subject/27069503/
思考，快与慢, Thinking. Fast and Slow,[美] 丹尼尔·卡尼曼 , 胡晓姣、李爱民、何梦莹 , 中信出版社,, 2012-7,9787508633558,424, 69.00元, 心理学 丹尼尔·卡尼曼 经济学,在读,8.2,10481,https://book.douban.com/subject/10785583/
IT项目管理,,Kathy Schwalbe , 邢春晓 , 机械工业出版社,计算机科学丛书, 2008-8,9787111240235,365, 55.00元, 软件工程 项目管理 IT项目管理,在读,7.2,26,https://book.douban.com/subject/3194900/
认识商业（修订第10版）, Understanding Business,[美] 威廉·尼克尔斯、吉姆·麦克修、苏珊·麦克修 , 陈智凯、黄启瑞、黄延峰 , 后浪丨四川人民出版社,, 2018-2,9787220105883,672, 118.00元, 商业 管理,想读,8.8,211,https://book.douban.com/subject/27621512/
布道之道: 引领团队拥抱技术创新, Driving Technical Change,瑞恩 , 李松峰、李缨 , 人民邮电出版社,, 2012-1,9787115267276,135, 29.00元, 管理 技术 思想,想读,7.6,256,https://book.douban.com/subject/6990284/
我编程，我快乐: 程序员职业规划之道, The Passionate Programmer:Creating A Remarkable Career In Software Development,[美] Chad Fowler , 于梦瑄 , 人民邮电出版社,, 2010-8,9787115233523,202, 39.00元, 职业生涯 软件开发,想读,7.9,678,https://book.douban.com/subject/4923179/
信息简史: 一部历史 一个理论 一股洪流, The Information: A History. a Theory. a Flood,[美] 詹姆斯·格雷克 , 高博 , 人民邮电出版社,图灵新知, 2013-10,9787115331809,476, 69.00元, 信息 科普 历史,想读,8.7,2226,https://book.douban.com/subject/25752043/
艾伦•图灵传: 如谜的解谜者, Alan Turing: The Enigma,（英）安德鲁·霍奇斯 , 孙天齐 , 湖南科学技术出版社,, 2012-8-1,9787535773067,534, 68.00元, 图灵 人物传记,想读,8.4,238,https://book.douban.com/subject/11541213/
代码之外的功夫: 程序员精进之路, Programming Beyond Practices,[美] Gregory T. Brown , 李志 , 人民邮电出版社,图灵程序设计丛书·程序员修炼系列, 2018-3-1,9787115478375,124, 49.00元, 软件开发 程序员修养,想读,6.8,60,https://book.douban.com/subject/30147274/
演进式架构,,[美] 尼尔 • 福特、[美] 丽贝卡 • 帕森斯、[澳] 帕特里克 • 柯 , 周训杰 , 人民邮电出版社,, 2019-8,9787115516176,156, 59.00元, 架构 方法论 软件工程,想读, ,,https://book.douban.com/subject/34793521/
九品中正制研究,,张旭华 ,, 中华书局,, 2015-1,9787101099829,555, 98.00元, 制度史 九品中正制 中国政治,想读,8.5,23,https://book.douban.com/subject/26357100/
永嘉乱后北方的豪族,,金发根 ,, 中国学术著作奖助委员会,, 1969-9,9782206028668,191,, 魏晋南北朝 豪族 中国古代史,想读, ,,https://book.douban.com/subject/24108943/
思想史研究课堂讲录（增订版）,,葛兆光 ,, 生活·读书·新知三联书店,三联讲坛丛书, 2019-5,9787108063991,572, 99.00元, 思想史 葛兆光 中国史,想读,9.3,89,https://book.douban.com/subject/33435992/
经济思想史, History of economic thought,[美]兰德雷斯，[美]柯南德尔 , 周文 , 人民邮电出版社,, 2011-10,9787115258816,529, 85.00元, 经济史 思想史,想读,9.1,133,https://book.douban.com/subject/6876957/
中国思想史十讲（上卷）,,金观涛、刘青峰 ,, 法律出版社,, 2015-7-1,9787511876218,389,58, 思想史 历史 中国,想读,9.1,389,https://book.douban.com/subject/26591902/
世界文明史: 上卷,,菲利普·李·拉尔夫、罗伯特·E.勒纳、斯坦迪什·米查姆、爱德华·伯恩斯 ,, 商务印书馆,, 1998-5-1,9787100022521,1091,56.3, 历史 世界史 文明,想读,8.5,209,https://book.douban.com/subject/1157383/
编程原本, Elements of Programming,Alexander Stepanov、Paul McJones , 裘宗燕 , 机械工业出版社华章公司,计算机科学丛书, 2012-1-10,9787111367291,281, 59.00元, 计算机 算法,想读,8.6,77,https://book.douban.com/subject/7564093/
赢家的诅咒: 经济生活中的悖论与反常现象, The Winner’s Curse,[美]理查德·塞勒 , 高翠霜 , 中信出版集团,理查德·塞勒三部曲, 2018-1-1,9787508684826,312, 59.00元, 行为经济学 理查德·塞勒,想读,7.4,103,https://book.douban.com/subject/27605314/
助推: 如何做出有关健康、财富与幸福的最佳决策, Nudge: Improving Decisions About Health. Wealth.and Happiness,[美] 理查德·塞勒、[美] 卡斯·桑斯坦 , 刘宁 , 中信出版集团,理查德·塞勒三部曲, 2018-3-1,9787508684918,,59, 行为经济学 理查德·塞勒,想读,7.6,320,https://book.douban.com/subject/30128227/
“错误”的行为: 行为经济学的形成, Misbehaving: The Making of Behavioral Economics,[美] 理查德·塞勒 , 王晋 , 中信出版集团,理查德·塞勒三部曲, 2018-3-1,9787508684512,,69, 经济学 行为经济学 理查德·塞勒,想读,9,263,https://book.douban.com/subject/30128262/
汴京之围: 北宋末年的外交、战争和人,,郭建龙 ,, 天地出版社,, 2019-7-1,9787545549447,392, CNY 78.00, 宋史 历史 靖康之难,想读,8.5,803,https://book.douban.com/subject/34433981/
论文与治学,,郑也夫 ,, 中信出版集团,郑也夫作品集, 2018-5,9787508686646,216, 38.00元, 方法论 研究方法 思考 论文 郑也夫,想读,9.2,129,https://book.douban.com/subject/30144073/
社会学的想象力, The Sociological Imagination,[美] C.赖特·米尔斯 , 李康 , 北京师范大学出版社,米尔斯文集, 2017-3-2,9787303212842,370, 48.00元, 社会学 方法论,想读,9,1293,https://book.douban.com/subject/26874446/
经济解释,,张五常 ,, 中信出版社,, 2015-9,9787508653914,, 119.00元, 张五常 经济学,想读,9.2,353,https://book.douban.com/subject/26636765/
战争论,,[德]卡尔·冯·克劳塞维茨 , 时殷弘 , 商务印书馆,汉译世界学术名著丛书·政治法律社会, 2016-5,9787100120401,1055, 86.00元, 克劳塞维茨 军事,想读,6.5,15,https://book.douban.com/subject/26836381/
21世纪资本论: Capital in the Twenty-First Century, Le capital au XXIe siècle,[法] 托马斯·皮凯蒂（Thomas Piketty） , 巴曙松 等译 , 中信出版社,, 2014-9,9787508647258,685, 98.00元, 政治社会学 金融 经济 社会学 社会科学,想读,7.7,2164,https://book.douban.com/subject/25947310/
投资银行、对冲基金和私募股权投资, An Introduction to Investment Banks.Hedge Funds .and Private Equity:The New Paradigm,(美)戴维·斯托厄尔 , 黄嵩、赵鹏 , 机械工业出版社,华章教材经典译丛, 2013-4,9787111414766,504, 99.00元, 金融投资,想读,8.7,191,https://book.douban.com/subject/23760469/
海昏侯新论,,辛德勇 ,, 生活 读书 新知三联书店,, 2019-6,9787108066206,256, 66.00元, 辛德勇 海昏侯,想读,8.8,23,https://book.douban.com/subject/33451961/
海昏侯刘贺,,辛德勇 ,, 生活·读书·新知三联书店,文史小悦册, 2016-10-1,9787108058058,318, CNY 49.00, 海昏侯刘贺 辛德勇 历史,想读,7.7,818,https://book.douban.com/subject/26865815/
看得见的手: 美国企业的管理革命, The Visible Hand:The Managerial Revolution in American Business,小艾尔弗雷德·D.钱德勒 , 重武 , 商务印书馆,, 1987-09,9787100005739,700,76, 企业 管理学 管理哲学,想读,9,164,https://book.douban.com/subject/1053848/
交易系统与方法（原书第5版）,,佩里 J. 考夫曼 , 高闻酉、高瑄、郭思齐 , 机械工业出版社,, 2018-10,9787111608325,988,199, 交易系统 金融投资 投资交易,想读, ,,https://book.douban.com/subject/30358562/
大流感: 最致命瘟疫的史诗, The Great Influenza: The Story of the Deadliest Pandemic in History,约翰·M·巴里 , 钟扬等 译 金力 校 , 上海科技教育出版社,哲人石丛书, 2008-12,9787542847225,636, 49.80元, 医学史,想读,8.7,271,https://book.douban.com/subject/3435537/
素数之恋: 伯恩哈德·黎曼和数学中最大的未解之谜,,(美)约翰·德比希尔 , 陈为蓬 , 上海科技教育出版社,哲人石丛书, 2008-12-01,9787542847768,398, 34.00元, 素数 数学 数学史 科普 数论,想读,9.1,330,https://book.douban.com/subject/3541506/
工程学: 无尽的前沿, Engineering: An Endless Frontier,[美]欧阳莹之 , 李啸虎、吴新忠、闫宏秀 , 上海科技教育出版社,世纪人文系列丛书·开放人文, 2017-7-1,9787542858559,404,65, 工程学 工程哲学 科学哲学,想读,8,11,https://book.douban.com/subject/27147169/
C++ API设计, API Design for C++,[美] Martin Reddy , 刘晓娜、臧秀涛、林健 , 人民邮电出版社,, 2013-8,9787115322999,380,89, C++ API 接口,想读,8.4,75,https://book.douban.com/subject/24869855/
微服务架构设计模式, Microservices Patterns:With Examples in Java,[美]　克里斯?理查森（Chris Richardson） , 喻勇　译 , 机械工业出版社,架构师书库, 2019-5,9787111624127,, 139元, 架构 微服务 软件开发,想读,9.5,62,https://book.douban.com/subject/33425123/
科学革命的结构, The Structure of Scientific Revolutions,[美]托马斯·库恩、[美]伊安·哈金 (导读) , 金吾伦、胡新和 , 北京大学出版社,北京大学科技哲学丛书, 2012-11,9787301214268,252, 29.00元, 方法论 社科 科学史 科学哲学,想读,9.1,1051,https://book.douban.com/subject/20376550/
系统之美: 决策者的系统思考, Thinking in Systems: a Primer,[美] 德内拉•梅多斯 , 邱昭良 , 浙江人民出版社,, 2012-8,9787213050114,290, 56.90元, 系统论 方法论,想读,8.2,1556,https://book.douban.com/subject/11528220/
中国文化与中国的兵,,雷海宗 ,, 北京出版社,大家小书, 2016-2,9787200114140,254, 24.00元, 雷海宗 古代文化 历史,想读,8.5,31,https://book.douban.com/subject/26706741/
数据密集型应用系统设计, Designing Data-Intensive Applications,Martin Kleppmann , 赵军平、李三平、吕云松、耿煜 , 中国电力出版社,, 2018-9-1,9787519821968,519,128, 分布式系统 软件工程 架构,想读,9.7,197,https://book.douban.com/subject/30329536/
第二个经典时代: 重估唐宋文学,,吕正惠 ,, 生活·读书·新知三联书店,三联精选（新）, 2019-6,9787108063175,, 49.00元, 古典文学 吕正惠,想读, ,,https://book.douban.com/subject/30233980/
项目管理知识体系指南: PMBOK指南, A Guide to the Project Management Body of Knowledge,项目管理协会 (Project Management institute) , 许江林等 , 电子工业出版社,, 2013-7-1,9787121201868,612, CNY 128.00, 项目管理,想读,8.8,318,https://book.douban.com/subject/24697645/
项目计划、进度与控制,,[美] 詹姆斯·刘易斯 , 石泉、杨磊 , 机械工业出版社,, 2012-6-15,9787111380894,428, 69.00元, 美国 项目管理,想读,8.3,166,https://book.douban.com/subject/10801087/
项目经理案头手册,,刘易斯 ,,,, 2009-1,9787121074639,317, 42.00元, 项目管理,想读,8.6,22,https://book.douban.com/subject/3350772/
宋代台谏制度研究: 增订本,,虞云国 ,, 上海书店,, 2009-4-1,9787545800395,200, 20.00元, 台谏 虞云国 宋史,想读,8,37,https://book.douban.com/subject/3696565/
中国政治思想史,,萧公权 ,, 商务印书馆,中华现代学术名著丛书, 2011-12,9787100086066,983, 95.00元, 萧公权 政治思想史,想读,9.4,148,https://book.douban.com/subject/6852927/
中国政治制度史纲,,严耕望 ,, 上海古籍出版社,近现代名家讲义丛刊, 2017-3,9787532583546,232, 38.00元, 政治史 中国 制度史 严耕望,想读,9.2,62,https://book.douban.com/subject/26986711/
祖宗之法: 北宋前期政治述略,,邓小南 ,, 生活·读书·新知三联书店,三联·哈佛燕京学术丛书, 2014-11,9787108049988,564, 67.00元, 政治史 宋史,想读,8.7,323,https://book.douban.com/subject/26136469/
文化形态史观·中国文化与中国的兵: 民国学术丛刊,,雷海宗、林同济 , 2015年2月第2版 定價52元 , 吉林出版集团有限责任公司,民国学术丛刊, 2010-10,9787546338873,405, 46.00元, 雷海宗 文化 中国 历史,想读,9,57,https://book.douban.com/subject/5364276/
宋史,,陈振 ,, 上海人民出版社,中国断代史系列, 2003-04,9787208044449,700,48, 宋史 陈振,想读,7.8,250,https://book.douban.com/subject/1020089/
南宋全史（全二册）: 南宋史研究丛书,,何忠礼 ,, 上海古籍出版社,南宋史研究丛书, 2011-12,9787532560929,762, 158.00元, 宋史 南宋 何忠礼,想读,7.5,33,https://book.douban.com/subject/6861484/
中国古代史史料学: 增订本,,何忠礼 ,, 上海古籍出版社,, 2012-8,9787532564491,497, 68.00元, 历史 何忠礼 史料学,想读,7.4,21,https://book.douban.com/subject/11594122/
说中国: 一个不断变化的复杂共同体,,许倬云 ,, 广西师范大学出版社,理想国·许倬云“中国三部曲”, 2015-5,9787549564286,264, 48.00元, 文化史 历史学 许倬云,想读,8.3,1141,https://book.douban.com/subject/26334500/
万古江河: 中国历史文化的转折与开展,,许倬云 ,, 理想国|湖南人民出版社,理想国·许倬云“中国三部曲”, 2017-12-1,9787556116904,552,68, 文化史 社会史 许倬云,想读,8.6,575,https://book.douban.com/subject/27591495/
两宋史研究汇编,,刘子健 ,, 联经出版事业公司,,1987,9789570816341,405, 新台幣300元, 刘子健 宋史 论文集,想读,9.4,68,https://book.douban.com/subject/3025391/
中国转向内在: 两宋之际的文化内向, China Turning Inward : Intellectual-Political Changes in the Early Twelfth Century,[美] 刘子健 , 赵冬梅 , 江苏人民出版社,海外中国研究丛书, 2002-1,9787214031082,197, 12.00元, 宋史 刘子健,想读,8.1,497,https://book.douban.com/subject/1097745/
太原功臣与唐初政治,,张耐冬 ,, 中国社会科学出版社,中国人民大学国学院国学新锐丛书, 2018-5,9787520326018,206, 58.00元, 隋唐,想读,8.3,48,https://book.douban.com/subject/30362668/
南宋行暮: 宋光宗宋宁宗时代,,虞云国 ,, 上海人民出版社,, 2018-9,9787208153318,364,55, 虞云国 南宋 宋史,想读,8.2,326,https://book.douban.com/subject/30277466/
IT治理: 一流绩效企业的IT治理之道,,彼得·维尔 ,, 商务印书馆,, 2005-9,9787100044790,302, 45.00元, IT 管理 IT治理,想读,7.2,21,https://book.douban.com/subject/1453968/
巨匠与杰作, Ten Novels and Their Authors,(英)威廉·萨默塞特·毛姆 , 李锋 , 上海译文出版社,毛姆文集（精装）, 2013-8,9787532762040,312, 38.00元, 毛姆 文学评论,想读,8.7,934,https://book.douban.com/subject/24737022/
TCP/IP详解 卷1：协议（原书第2版）: 协议, TCP/IP Illustrated. Volume 1: The Protocols,Kevin R. Fall W. Richard Stevens , 吴英、张玉、许昱玮 , 机械工业出版,计算机科学丛书, 2016-6-23,9787111453833,683, CNY 129.00, TCP/IP,想读,7.1,55,https://book.douban.com/subject/26825411/
士大夫政治演生史稿,,阎步克 ,, 北京大学出版社,博雅英华, 2015-1-1,9787301251881,459, CNY 75.00, 士大夫 历史 阎步克,想读,9,349,https://book.douban.com/subject/26295138/
中国古代官阶制度引论,,阎步克 ,, 北京大学出版社,中国古代官僚等级制度研究, 2010-1-1,9787301161616,515, CNY 58.00, 阎步克 政法典章,想读,8.5,286,https://book.douban.com/subject/4175453/
深入理解LINUX网络技术内幕, Understanding Linux Network Internals,Christian Benvenuti , 夏安、闫江毓、黄景昌 , 中国电力出版社,, 2009-6,9787508379647,996, 128.00元, Linux kernel network,想读,8.3,39,https://book.douban.com/subject/4015134/
记忆，历史，遗忘, La Mémoire. l&#39;Histoire. l&#39;Oubli,[法] 保罗·利科（Paul Ricoeur） , 李彦岑、陈颖 , 华东师范大学出版社,法兰西经典, 2017-9-1,9787567566880,736, CNY 158.00, 法国 历史哲学 保罗·利科,想读,8.9,49,https://book.douban.com/subject/27096043/
魏晋南北朝史发微,,高敏 ,, 中华书局,, 2005-1,9787101042719,415, 26.00元, 魏晋南北朝史 高敏,想读,7.5,32,https://book.douban.com/subject/1429214/
北魏史(修订版),,杜士铎 ,, 北岳文艺出版社,, 2017-1,9787537849166,488,68, 北魏,想读,6.6,11,https://book.douban.com/subject/27022293/
长尾理论2.0, The Long Tail: Why the Future of Business Is Selling Less of More,安德森 , 乔江涛、石晓燕 , 中信出版社,, 2009-5,9787508614977,272, 42.00元, 长尾理论 互联网,想读,7.9,1545,https://book.douban.com/subject/3685204/
隋唐制度渊源略论稿 唐代政治史述论稿,,陈寅恪 ,, 生活·读书·新知三联书店,陳寅恪集, 2001-4,9787108009418,358, 40.00元, 陈寅恪 隋唐,想读,9.6,1172,https://book.douban.com/subject/1017795/
北周地理志（全二册）: 王仲荦著作集,,王仲荦 ,, 中华书局,王仲犖著作集, 2007-12,9787101055795,1188, 85.00元, 北周 王仲荦,想读,8.9,32,https://book.douban.com/subject/2364988/
唐代交通图考: 严耕望史学著作集,,严耕望 ,, 上海古籍出版社,嚴耕望史學著作集, 2007-3,9787532547203,2516, 198.00元, 地理 严耕望 唐代,想读,9.7,90,https://book.douban.com/subject/2156248/
中国政治制度史纲,,严耕望 ,, 上海古籍出版社,, 2013-12-1,9787532571246,280, CNY 29.00, 严耕望 制度史,想读,9,206,https://book.douban.com/subject/25792791/
中国中世社会与共同体（增订本）,,谷川道雄 , 马彪 , 上海古籍出版社,日本中国史研究译丛, 2013-12,9787532570768,336, 58.00元, 中国古代史 日本 谷川道雄,想读,8.4,75,https://book.douban.com/subject/25782894/
廿二史考异,,钱大昕 , 陈文和 注解 , 凤凰出版社,,2008,9787807291541,1107, 78.00元,,想读, ,,https://book.douban.com/subject/2989289/
管锥编（全五册）,,钱钟书 ,, 中华书局,, 1979-08,9787101007473,1558,88,,想读,9.3,1191,https://book.douban.com/subject/1041366/
元和姓纂: (附四校记　全三册),,[唐]林宝 撰、岑仲勉校记、郁贤皓 整理、陶敏 整理、孙望 审定 ,, 中华书局,, 2008年10月,9787101010480, 2812页, 278.00元, 岑仲勉 古籍 姓氏 元和姓纂,想读,9.5,32,https://book.douban.com/subject/3237698/
隋唐五代史,,王仲荦 ,, 上海人民出版社,中国断代史系列, 2016-12-1,9787208141056,1342, CNY 158.00, 王仲荦 隋唐史,想读, ,,https://book.douban.com/subject/26969624/
南宋初期政治史研究,,[日]寺地遵 , 刘静贞、李今芸 , 复旦大学出版社,日本学者古代中国研究丛刊, 2016-4,9787309115109,410, 68.00元, 日本汉学 历史 南宋,想读,8.7,178,https://book.douban.com/subject/26794951/
北周六典（上下）,,王仲荦 ,, 中华书局,王仲犖著作集, 2007-12,9787101055764,696, 52.00元, 魏晋南北朝史 北周 历史 王仲荦,想读,9.2,50,https://book.douban.com/subject/2364983/
TCP/IP入门经典: 第5版,,卡萨德(Joe Casad) , 井中月、巩亚萍 , 人民邮电出版社,入门经典, 2012-4-1,9787115274618,350, 49.00元, 计算机网络 TCP/IP,想读,7.8,20,https://book.douban.com/subject/10556677/
東魏北齊的統治集團,,王怡辰 ,, 文津出版社有限公司,, 2006-10-1,9789576688034,, NT$ 480, 魏晋南北朝史 北齊史,想读,8.2,64,https://book.douban.com/subject/3087269/
關隴集團的權力結構演變: 西魏北周政治史研究,,呂春盛 ,, 稻鄉出版社,, 2002-3-1,9789579628983,416, NT480, 魏晋南北朝史 关陇集团,想读,8.4,58,https://book.douban.com/subject/3087324/
六朝政治,,陈长琦 ,, 南京出版社,六朝文化丛书, 2010-8,9787807186298,330, 30.00元, 魏晋南北朝史 陈长琦,想读,8.2,24,https://book.douban.com/subject/5398154/
波峰与波谷: 秦汉魏晋南北朝的政治文明（第二版）,,阎步克 ,, 北京大学出版社,博雅撷英, 2017-4,9787301281482,244, 45.00元, 魏晋南北朝史 阎步克 政治制度,想读,8.8,462,https://book.douban.com/subject/26992823/
中国古代社会,,何兹全 ,, 北京师范大学出版社,北京师范大学教授文库, 2005-6-1,9787303056804,521, 30.00元, 中国历史 社会史,想读,8.5,19,https://book.douban.com/subject/1548401/
魏晋南北朝兵制研究,,高敏 ,, 大象出版社,, 1998-5-1,9787534721113,342, 15.30元, 魏晋南北朝史 军事 兵制,想读,8.1,16,https://book.douban.com/subject/1325494/
品位与职位: 秦汉魏晋南北朝官阶制度研究,,阎步克 ,, 中华书局,, 2009-7-1,9787101066869,680, 48.00元, 秦汉史 魏晋南北朝史 制度史,想读,9.1,149,https://book.douban.com/subject/3993370/
北魏政治史（一）,,张金龙 ,, 甘肃教育出版社,北魏政治史, 2008-10,9787542317209,249, 35.00元, 鲜卑 魏晋南北朝史 政治史 北魏 张金龙,想读,8.8,39,https://book.douban.com/subject/3392049/
两汉魏晋南北朝时期关东豪族研究,,尹建东 ,, 四川大学出版社,, 2007-4,9787561436615,312, 26.00元, 历史 门阀 豪族 魏晋南北朝 社会史,想读,7.4,10,https://book.douban.com/subject/2174587/
拓跋春秋,,李凭 ,, 浙江文艺出版社,读史馆, 2010-1,9787533929459,261, 32.00元, 魏晋南北朝 鲜卑,想读,7.5,28,https://book.douban.com/subject/4274989/
北魏平城时代,,李凭 ,, 上海古籍出版社,, 2014-12-1,9787532573554,418, 55.00元, 魏晋南北朝,想读,8.7,311,https://book.douban.com/subject/26284866/
